,index,x,y
0,0.0,2.878481231370057e-14,6.011693470199423e-14
1,0.0,1.4672905600502356e-13,6.53569647801662e-14
2,0.0,1.5352527942626936e-13,4.177544305016216e-13
3,0.0,4.048201053730541e-12,-3.949745396311216e-12
4,0.0,5.837857646115128e-13,1.1606970718259194e-12
5,0.0,2.0102976686374228e-12,7.888288460001126e-13
6,0.0,1.4521159232421543e-14,3.682134620200945e-14
7,0.0,4.433609234920325e-14,5.773407462320496e-14
8,0.0,1.4744004649129172e-14,7.623608086051756e-14
9,0.0,5.509060235502204e-15,1.859937058966907e-13
10,0.0,-1.323671907257357e-13,-6.104075005870825e-14
11,0.0,-7.194296718364173e-14,9.293515858574084e-14
12,0.0,1.0020732262151006e-13,9.547124161439311e-14
13,0.0,5.5814605696660624e-14,5.2483818371273896e-14
14,0.0,3.235577171438558e-13,2.3674166511284427e-14
15,0.0,4.312912238054973e-14,-2.7005961699098387e-14
16,0.0,-7.480276971526247e-14,2.0750439617509555e-12
17,0.0,2.5706278176803125e-14,1.7591050384804364e-13
18,0.0,2.2903026678925246e-13,4.672463366012353e-13
19,0.0,-1.0355614571243091e-13,2.4377292709626906e-14
20,0.0,1.9996720343127655e-13,-7.516068944377822e-14
21,0.0,-7.036067429099382e-14,3.064679290395825e-13
22,0.0,1.4484174390173227e-13,1.5006350252614065e-13
23,0.0,3.542635543878203e-14,9.338962242038178e-14
24,0.0,3.0014053871949175e-14,7.573920979639246e-14
25,0.0,2.0958371501546905e-12,-1.0135214386364562e-12
26,0.0,-1.2108712171414188e-14,5.530336927002057e-14
27,0.0,1.0619583801141258e-13,1.4676396530993796e-13
28,0.0,-5.7284755504133e-14,1.6784653691050488e-13
29,0.0,3.415758408020451e-14,5.811281538427463e-14
30,0.0,6.400793134214643e-14,-4.730392895951517e-13
31,0.0,3.5433790549883653e-13,4.506759460197583e-13
32,0.0,3.135148027389985e-13,-7.896118473839553e-14
33,0.0,6.314244847732673e-14,1.7158409023532483e-13
34,0.0,4.088931651492074e-14,6.510603796367782e-14
35,0.0,6.352954240138453e-14,5.6649524093208233e-14
36,0.0,4.7724510612288957e-14,3.9409786411826054e-14
37,0.0,-3.786039844091236e-14,1.0952587592859708e-13
38,0.0,1.7250785670229272e-13,7.479642395563597e-13
39,0.0,6.211200833120294e-14,1.0756335525722482e-14
40,0.0,4.926177439860176e-14,2.797416828565953e-14
41,0.0,1.3014828886019175e-14,9.382520992438782e-14
42,0.0,-1.9337424285322352e-15,9.164062047550091e-14
43,0.0,-2.7988484190114236e-13,7.367381388839849e-13
44,0.0,-1.677318996603091e-13,1.4577886973116474e-13
45,0.0,-2.075582728857594e-12,1.2312095289079341e-12
46,0.0,6.228183667397638e-14,5.695121097804743e-14
47,0.0,8.567932051046543e-13,-2.0179479669747643e-12
48,0.0,-1.242563356658281e-13,1.992928628154756e-13
49,0.0,2.7213368752878357e-14,6.921381636469212e-14
50,0.0,8.272990192263078e-13,-2.7045282810454093e-12
51,0.0,-3.045388853524336e-14,6.118483929350644e-13
52,0.0,3.697889601776359e-14,1.6192978289985886e-13
53,0.0,4.6530107241783676e-14,5.449459787715985e-14
54,0.0,-1.0121066396822453e-12,6.177275332624626e-13
55,0.0,1.188859878699358e-13,1.6400071399738716e-13
56,0.0,6.307793653572715e-15,-1.4809703176409454e-12
57,0.0,8.004567362030139e-14,1.0401537648421738e-13
58,0.0,3.733614186933733e-14,6.17605098689331e-14
59,0.0,1.407867219859704e-13,2.1704452162196418e-13
60,0.0,1.787994424220226e-12,1.8315221626371047e-12
61,0.0,1.8504369648811746e-14,5.5148018064646035e-14
62,0.0,-1.2660294667952606e-12,-8.128876743247177e-13
63,0.0,8.444091300733042e-13,6.083263217810032e-13
64,0.0,-1.4265942473989785e-12,1.0725586426497273e-12
65,0.0,5.52399511445506e-14,2.1079750365011405e-13
66,0.0,2.416839704903188e-14,8.650389361996768e-14
67,0.0,6.018763713916199e-14,1.2200546649327525e-13
68,0.0,5.3820458625555096e-14,9.312878126148769e-14
69,0.0,3.1345144261943627e-13,1.0676051504741015e-12
70,0.0,2.9634756826433944e-14,3.1502068862232854e-13
71,0.0,3.1642240122502935e-14,-1.3256929210847837e-14
72,0.0,-1.3379468959400154e-13,3.93773855984801e-13
73,0.0,-2.7080400201006227e-14,2.4785722664513983e-14
74,0.0,-1.3847649508553387e-13,-1.7668144438024058e-13
75,0.0,6.172569019553788e-14,4.368431535253134e-13
76,0.0,4.573011742629151e-13,1.8853383280370703e-12
77,0.0,2.1686591982630877e-13,-8.77929423073639e-14
78,0.0,3.0081120586448476e-13,8.499309316708838e-13
79,0.0,9.15153018823539e-15,8.461783965966168e-14
80,0.0,-4.073159322638677e-14,1.3288338484203443e-13
81,0.0,3.147248479205428e-14,7.334220203659819e-14
82,0.0,1.6425084930329247e-14,5.038780110271695e-14
83,0.0,2.5388614671994917e-14,1.085490033614469e-13
84,0.0,9.811637609633086e-14,9.790799989166825e-14
85,0.0,4.457116095800104e-14,6.820796998208327e-14
86,0.0,4.4309973233984463e-14,4.188867776011947e-14
87,0.0,-2.925882495197849e-14,4.203070309677405e-14
88,0.0,1.5932689456759164e-14,9.198478555722322e-14
89,0.0,7.024133897764847e-13,-4.160196797880468e-13
90,0.0,7.006379167324786e-14,1.2083990465468211e-13
91,0.0,2.6163089596127943e-13,-4.211394003633137e-13
92,0.0,2.869128580948523e-14,2.7281949366599725e-14
93,0.0,3.8691616334637733e-14,4.553082259292372e-14
94,0.0,-2.831753750193031e-14,1.3762790101246144e-13
95,0.0,5.458966664519835e-14,3.015753699214282e-14
96,0.0,1.403603716749392e-13,-2.9756505485684975e-14
97,0.0,7.751641039509529e-13,-1.3007878477321058e-12
98,0.0,4.3116323104351647e-14,3.6210365605264664e-14
99,0.0,3.803727284435228e-13,6.324617419421789e-13
100,1.0,2.878481231370057e-14,6.011693470199423e-14
101,1.0,1.4672905600502356e-13,6.53569647801662e-14
102,1.0,1.5352527942626936e-13,4.177544305016216e-13
103,1.0,4.048201053730541e-12,-3.949745396311216e-12
104,1.0,5.837857646115128e-13,1.1606970718259194e-12
105,1.0,2.0102976686374228e-12,7.888288460001126e-13
106,1.0,1.4521159232421543e-14,3.682134620200945e-14
107,1.0,4.433609234920325e-14,5.773407462320496e-14
108,1.0,1.4744004649129172e-14,7.623608086051756e-14
109,1.0,5.509060235502204e-15,1.859937058966907e-13
110,1.0,-1.323671907257357e-13,-6.104075005870825e-14
111,1.0,-7.194296718364173e-14,9.293515858574084e-14
112,1.0,1.0020732262151006e-13,9.547124161439311e-14
113,1.0,5.5814605696660624e-14,5.2483818371273896e-14
114,1.0,3.235577171438558e-13,2.3674166511284427e-14
115,1.0,4.312912238054973e-14,-2.7005961699098387e-14
116,1.0,-7.480276971526247e-14,2.0750439617509555e-12
117,1.0,2.5706278176803125e-14,1.7591050384804364e-13
118,1.0,2.2903026678925246e-13,4.672463366012353e-13
119,1.0,-1.0355614571243091e-13,2.4377292709626906e-14
120,1.0,1.9996720343127655e-13,-7.516068944377822e-14
121,1.0,-7.036067429099382e-14,3.064679290395825e-13
122,1.0,1.4484174390173227e-13,1.5006350252614065e-13
123,1.0,3.542635543878203e-14,9.338962242038178e-14
124,1.0,3.0014053871949175e-14,7.573920979639246e-14
125,1.0,2.0958371501546905e-12,-1.0135214386364562e-12
126,1.0,-1.2108712171414188e-14,5.530336927002057e-14
127,1.0,1.0619583801141258e-13,1.4676396530993796e-13
128,1.0,-5.7284755504133e-14,1.6784653691050488e-13
129,1.0,3.415758408020451e-14,5.811281538427463e-14
130,1.0,6.400793134214643e-14,-4.730392895951517e-13
131,1.0,3.5433790549883653e-13,4.506759460197583e-13
132,1.0,3.135148027389985e-13,-7.896118473839553e-14
133,1.0,6.314244847732673e-14,1.7158409023532483e-13
134,1.0,4.088931651492074e-14,6.510603796367782e-14
135,1.0,6.352954240138453e-14,5.6649524093208233e-14
136,1.0,4.7724510612288957e-14,3.9409786411826054e-14
137,1.0,-3.786039844091236e-14,1.0952587592859708e-13
138,1.0,1.7250785670229272e-13,7.479642395563597e-13
139,1.0,6.211200833120294e-14,1.0756335525722482e-14
140,1.0,4.926177439860176e-14,2.797416828565953e-14
141,1.0,1.3014828886019175e-14,9.382520992438782e-14
142,1.0,-1.9337424285322352e-15,9.164062047550091e-14
143,1.0,-2.7988484190114236e-13,7.367381388839849e-13
144,1.0,-1.677318996603091e-13,1.4577886973116474e-13
145,1.0,-2.075582728857594e-12,1.2312095289079341e-12
